id_departamento,nombre_departamento,nombre_provincia
2000,CIUDAD DE BUENOS AIRES,Ciudad de Buenos Aires
6007,ADOLFO ALSINA,Buenos Aires
6014,ADOLFO GONZALES CHAVES,Buenos Aires
6021,ALBERTI,Buenos Aires
6028,ALMIRANTE BROWN,Buenos Aires
6035,AVELLANEDA,Buenos Aires
6042,AYACUCHO,Buenos Aires
6049,AZUL,Buenos Aires
6056,BAHIA BLANCA,Buenos Aires
6063,BALCARCE,Buenos Aires
6070,BARADERO,Buenos Aires
6077,ARRECIFES,Buenos Aires
6084,BENITO JUAREZ,Buenos Aires
6091,BERAZATEGUI,Buenos Aires
6098,BERISSO,Buenos Aires
6105,BOLIVAR,Buenos Aires
6112,BRAGADO,Buenos Aires
6119,BRANDSEN,Buenos Aires
6126,CAMPANA,Buenos Aires
6134,CAÑUELAS,Buenos Aires
6140,CAPITAN SARMIENTO,Buenos Aires
6147,CARLOS CASARES,Buenos Aires
6154,CARLOS TEJEDOR,Buenos Aires
6161,CARMEN DE ARECO,Buenos Aires
6168,CASTELLI,Buenos Aires
6175,COLON,Buenos Aires
6182,CORONEL DE MARINA L ROSALES,Buenos Aires
6189,CORONEL DORREGO,Buenos Aires
6196,CORONEL PRINGLES,Buenos Aires
6203,CORONEL SUAREZ,Buenos Aires
6210,CHACABUCO,Buenos Aires
6218,CHASCOMUS,Buenos Aires
6224,CHIVILCOY,Buenos Aires
6231,DAIREAUX,Buenos Aires
6238,DOLORES,Buenos Aires
6245,ENSENADA,Buenos Aires
6252,ESCOBAR,Buenos Aires
6260,ESTEBAN ECHEVERRIA,Buenos Aires
6266,EXALTACION DE LA CRUZ,Buenos Aires
6270,EZEIZA,Buenos Aires
6274,FLORENCIO VARELA,Buenos Aires
6277,FLORENTINO AMEGHINO,Buenos Aires
6280,GENERAL ALVARADO,Buenos Aires
6287,GENERAL ALVEAR,Buenos Aires
6294,GENERAL ARENALES,Buenos Aires
6301,GENERAL BELGRANO,Buenos Aires
6308,GENERAL GUIDO,Buenos Aires
6315,GENERAL JUAN MADARIAGA,Buenos Aires
6322,GENERAL LA MADRID,Buenos Aires
6329,GENERAL LAS HERAS,Buenos Aires
6336,GENERAL LAVALLE,Buenos Aires
6343,GENERAL PAZ,Buenos Aires
6351,GENERAL PINTO,Buenos Aires
6357,GENERAL PUEYRREDON,Buenos Aires
6364,GENERAL RODRIGUEZ,Buenos Aires
6371,GENERAL SAN MARTIN,Buenos Aires
6385,GENERAL VIAMONTE,Buenos Aires
6392,GENERAL VILLEGAS,Buenos Aires
6399,GUAMINI,Buenos Aires
6406,HIPOLITO YRIGOYEN,Buenos Aires
6408,HURLINGHAM,Buenos Aires
6410,ITUZAINGO,Buenos Aires
6412,JOSE C. PAZ,Buenos Aires
6413,JUNIN,Buenos Aires
6420,LA COSTA,Buenos Aires
6427,LA MATANZA,Buenos Aires
6434,LANUS,Buenos Aires
6441,LA PLATA,Buenos Aires
6448,LAPRIDA,Buenos Aires
6455,LAS FLORES,Buenos Aires
6462,LEANDRO N. ALEM,Buenos Aires
6466,LEZAMA,Buenos Aires
6469,LINCOLN,Buenos Aires
6476,LOBERIA,Buenos Aires
6483,LOBOS,Buenos Aires
6490,LOMAS DE ZAMORA,Buenos Aires
6497,LUJAN,Buenos Aires
6505,MAGDALENA,Buenos Aires
6511,MAIPU,Buenos Aires
6515,MALVINAS ARGENTINAS,Buenos Aires
6518,MAR CHIQUITA,Buenos Aires
6525,MARCOS PAZ,Buenos Aires
6532,MERCEDES,Buenos Aires
6539,MERLO,Buenos Aires
6547,MONTE,Buenos Aires
6553,MONTE HERMOSO,Buenos Aires
6560,MORENO,Buenos Aires
6568,MORON,Buenos Aires
6574,NAVARRO,Buenos Aires
6581,NECOCHEA,Buenos Aires
6588,9 DE JULIO,Buenos Aires
6595,OLAVARRIA,Buenos Aires
6602,PATAGONES,Buenos Aires
6609,PEHUAJO,Buenos Aires
6616,PELLEGRINI,Buenos Aires
6623,PERGAMINO,Buenos Aires
6630,PILA,Buenos Aires
6638,PILAR,Buenos Aires
6644,PINAMAR,Buenos Aires
6648,PRESIDENTE PERON,Buenos Aires
6651,PUAN,Buenos Aires
6655,PUNTA INDIO,Buenos Aires
6658,QUILMES,Buenos Aires
6665,RAMALLO,Buenos Aires
6672,RAUCH,Buenos Aires
6679,RIVADAVIA,Buenos Aires
6686,ROJAS,Buenos Aires
6693,ROQUE PEREZ,Buenos Aires
6700,SAAVEDRA,Buenos Aires
6707,SALADILLO,Buenos Aires
6714,SALTO,Buenos Aires
6721,SALLIQUELO,Buenos Aires
6728,SAN ANDRES DE GILES,Buenos Aires
6735,SAN ANTONIO DE ARECO,Buenos Aires
6742,SAN CAYETANO,Buenos Aires
6749,SAN FERNANDO,Buenos Aires
6756,SAN ISIDRO,Buenos Aires
6760,SAN MIGUEL,Buenos Aires
6763,SAN NICOLAS,Buenos Aires
6770,SAN PEDRO,Buenos Aires
6778,SAN VICENTE,Buenos Aires
6784,SUIPACHA,Buenos Aires
6791,TANDIL,Buenos Aires
6798,TAPALQUE,Buenos Aires
6805,TIGRE,Buenos Aires
6812,TORDILLO,Buenos Aires
6819,TORNQUIST,Buenos Aires
6826,TRENQUE LAUQUEN,Buenos Aires
6833,TRES ARROYOS,Buenos Aires
6840,TRES DE FEBRERO,Buenos Aires
6847,TRES LOMAS,Buenos Aires
6854,25 DE MAYO,Buenos Aires
6861,VICENTE LOPEZ,Buenos Aires
6868,VILLA GESELL,Buenos Aires
6875,VILLARINO,Buenos Aires
6882,ZARATE,Buenos Aires
10007,AMBATO,Catamarca
10014,ANCASTI,Catamarca
10021,ANDALGALA,Catamarca
10028,ANTOFAGASTA DE LA SIERRA,Catamarca
10035,BELEN,Catamarca
10042,CAPAYAN,Catamarca
10049,CATAMARCA CAPITAL,Catamarca
10056,EL ALTO,Catamarca
10063,FRAY MAMERTO ESQUIU,Catamarca
10070,LA PAZ,Catamarca
10077,PACLIN,Catamarca
